"Year","ID","crossing_time","crossing_duration","crossing_date","nearest_before_Lon","nearest_before_Lat","nearest_after_Lon","nearest_after_Lat","lake_width","circumvent_distance","straight_distance","circumvent_speed","straight_speed","albedo_linear","albedo_nearest_pixel","albedo_whole_lake","type","order","season","Location","average_speed_on_land","max_speed_on_land","location","lake_spent","sex","response","lake_spent_proportion","log_ratio_cir_ref","log_ratio_dir_ref","log_ratio_cir_dir"
2015,"bat133",2015-05-16 15:00:00,1,136,"-110.6074","65.3211","-110.3922","65.3302",1749.39388535343,16949.4939008038,10051.8301339396,0.19617469792597,0.116340626550227,0.767195761203766,0.767195761203766,0.767195767195767,"0",29,"spring","Spring Migration",0.257309219007089,0.371735843986452,"Known Crossing Event",453.971744522541,"f","1",0.315258155918431,-0.271272970250914,-0.793756224466014,0.522483254215101
2017,"bat169",2017-05-26 15:01:00,1,146,"-110.070949","65.408435","-110.723605","65.43942",11988.85989153,87789.1893593012,30412.6860799372,1.01607858054747,0.351998681480754,0.71558679615865,0.714285731315613,0.714285714285714,"0",52,"spring","Spring Migration",0.149493353708396,0.440018449171198,"Known Crossing Event",827.30475586485,"m","1",0.574517191572812,1.91645403316366,0.85637549475529,1.06007853840837
2019,"bat201",2019-06-27 16:01:00,0.333333333333333,178,"-111.426113","65.749306","-111.608525","65.79632",333.259579374283,12133.5654576914,9839.9136788951,0.421304356169842,0.34166366940608,0.560846567153931,0.560846567153931,0.544973544973545,"0",57,"spring","Spring Migration",0.191983964312167,0.399741235252166,"Known Circumnavigating Event",90.4486454595071,"m","0",0.18843467804064,0.785943659427846,0.576414981063516,0.20952867836433
2020,"bat257",2020-05-09 08:01:00,1.99930555555556,130,"-110.543253","65.454613","-110.464101","65.586603",7161.3712427177,116656.533842535,15139.8822228796,0.675330171602032,0.0876454916225517,0.77832892537117,0.817460298538208,0.798941798941799,"0",68,"spring","Spring Migration",0.49127028694726,1.41807274924524,"Known Crossing Event",1.03693101413955,"f","1",0.000360170550239511,0.318207255479612,-1.72369428500864,2.04190154048825
2020,"bat248",2020-05-20 16:00:00,0.334027777777778,141,"-111.373714","65.887976","-111.33097","65.944174",2910.7977516046,24578.4486599785,6550.33965712642,0.851644097712352,0.226969496088926,0.69867724776268,0.674603164196014,0.71957671957672,"0",72,"spring","Spring Migration",0.37539318841474,0.595808330274951,"Known Crossing Event",252.876534944249,"f","1",0.525730841879935,0.81919473475295,-0.503158349126031,1.32235308387898
2020,"bat248",2020-05-20 08:01:00,0.332638888888889,141,"-111.338652","65.795193","-111.373714","65.887976",1875.23458105236,32242.7704719121,10451.3486527378,1.12187788698372,0.363651658063248,0.823809516429901,0.722222208976746,0.71957671957672,"0",73,"spring","Spring Migration",0.399002694817837,0.595808330274951,"Known Crossing Event",295.044961427767,"f","1",0.615960253502645,1.03379107423282,-0.092771744703366,1.12656281893619
2020,"bat252",2020-05-13 08:01:00,0.332638888888889,134,"-110.535416","65.533227","-110.405543","65.634658",5333.68943411977,123939.116764582,12775.2075159084,4.31242577468971,0.444509656085888,0.798251662565314,0.928571403026581,0.777777777777778,"0",75,"spring","Spring Migration",0.388992522960398,0.630434862622596,"Known Crossing Event",54.5674201163191,"f","1",0.113919457445342,2.40569572727312,0.1334116559436,2.27228407132952
2021,"bat301",2021-04-13 23:00:14,0.0421527777777778,103,"-111.010349","65.811405","-110.984171","65.827809",1387.58883270872,7066.52556856133,2181.60501169167,1.94028708637049,0.599012908207488,0.994268079598745,1,0.925925925925926,"0",82,"spring","Spring Migration",0.0868193751907847,0.242566244768122,"Known Crossing Event",8.9893449918058,"f","1",0.148094645664016,3.10676141053331,1.93145333423749,1.17530807629582
2007,"bat068",2007-05-24 19:58:00,1.00347222222222,144,"-110.6489","65.4209","-110.3266","65.5275",9062.43193405997,103483.365818565,19042.6574621315,1.19357976722682,0.219638494372913,0.729069392470753,0.724867701530457,0.724867724867725,"0",83,"spring","Spring Migration",0.150018866318272,0.266525937388401,"Known Crossing Event",209.069927613068,"f","1",0.144685071012504,2.07395121661358,0.381221925768125,1.69272929084545
2009,"bat082",2009-05-09 03:00:00,1.5,129,"-109.6903","64.968","-109.7525","65.0929",8515.44746830725,17288.133077955,14207.7124626943,0.133396088564467,0.109627410977579,0.833416000008583,0.798941791057587,0.814814814814815,"0",84,"spring","Spring Migration",0.0814340083576039,0.158715103000969,"Known Crossing Event",1602.38280270587,"f","1",0.741843890141607,0.493529833097487,0.297294464556256,0.196235368541231
2011,"bat093",2011-05-14 15:00:00,2,134,"-110.6681","65.1403","-109.8326","65.5642",7703.85744593276,85891.5208806322,61082.6939208675,0.497057412503659,0.353487812042057,0.776769974875072,0.772486746311188,0.777777777777778,"0",85,"spring","Spring Migration",0.379080538305268,0.658470349766256,"Known Crossing Event",238.65033580398,"f","1",0.0828646999319376,0.270956852909175,-0.0698996778469213,0.340856530756096
2015,"bat139",2015-05-13 15:00:00,2,133,"-110.8828","65.2732","-110.3969","65.7648",11516.8488226822,126084.879179648,59136.6882599812,0.729657865622962,0.342226205208224,0.783068776130676,0.783068776130676,0.783068783068783,"0",86,"spring","Spring Migration",0.16895192202947,0.288169911209238,"Known Crossing Event",319.946531128834,"f","1",0.111092545530845,1.46296155763331,0.705857747742327,0.757103809890984
2015,"bat137",2015-05-13 15:00:00,3,133,"-111.0523","65.1339","-110.1442","65.6251",16334.3665065376,115116.353346919,69016.9688898098,0.444121733591508,0.266269170099575,0.783068776130676,0.783068776130676,0.783068783068783,"0",87,"spring","Spring Migration",0.225235670791291,0.324154281450303,"Known Crossing Event",162.974883408153,"f","1",0.0377256674555909,0.678951419832949,0.167360435029829,0.511590984803121
2017,"bev100",2017-04-02,0.666666666666667,92,"-111.434369","65.824971","-111.354032","65.850291",759.105807232915,11800.6688826927,4620.02673055952,0.204872723657859,0.0802087974055472,0.924036289964403,0.915343940258026,0.846560846560847,"0",88,"spring","Spring Migration",0.102122148883831,0.206784878737034,"Known Crossing Event",586.94459591664,"f","1",0.611400620746499,0.696219291235059,-0.24153643269168,0.937755723926739
2017,"bev100",2017-04-02 16:00:00,1.33333333333333,92,"-111.354032","65.850291","-111.048131","65.872006",9702.06026681741,44996.0399237332,14134.0777324831,0.390590624337961,0.122691646983361,0.850697448036887,0.809523820877075,0.846560846560847,"0",89,"spring","Spring Migration",0.102122148883831,0.206784878737034,"Known Crossing Event",586.944053217986,"f","1",0.305700027717702,1.34149038003919,0.18350463777004,1.15798574226915
2017,"bat191",2017-05-15 19:00:00,0.125,135,"-110.899166","65.646266","-110.731346","65.693387",7406.08457060325,128566.049351404,9314.21738989313,11.9042638288337,0.862427536101215,0.773002945795292,0.772486746311188,0.772486772486772,"0",90,"spring","Spring Migration",0.396374614431206,0.706168144497057,"Known Crossing Event",32.9733035527673,"f","1",0.183185019737596,3.40229215974712,0.77739136914081,2.62490079060631
2017,"bat160",2017-05-18 15:00:00,2.00069444444444,138,"-111.370769","65.428004","-110.815444","66.004872",7485.56628336532,94329.4122832116,69065.3234192321,0.545698323980166,0.399544853750041,0.756613731384277,0.756613731384277,0.756613756613757,"0",91,"spring","Spring Migration",0.214687870087994,0.331094247774282,"Known Crossing Event",210.865777782479,"f","1",0.0731918701084621,0.932881096606256,0.621140827362216,0.31174026924404
2017,"bat136",2017-05-18 15:00:00,2.00069444444444,138,"-111.394629","65.409379","-110.814242","66.006503",7986.95628789897,95958.5496901825,71587.7744821997,0.555122930060063,0.414137304652318,0.756613731384277,0.756613731384277,0.756613756613757,"0",92,"spring","Spring Migration",0.182431713995235,0.325424690796957,"Known Crossing Event",130.818827212062,"f","1",0.0454074374217503,1.11281365170922,0.819821639475524,0.292992012233695
2017,"bat192",2017-05-20 09:00:00,0.125,140,"-111.14078","65.732526","-111.063044","65.816626",6441.81895600291,92111.0850032187,10012.7167801692,8.5288041669647,0.92710340557122,0.746031761169434,0.746031761169434,0.746031746031746,"0",93,"spring","Spring Migration",0.60329884468639,0.940649545921157,"Known Crossing Event",97.076319625617,"f","1",0.539312886808983,2.64879176875723,0.429652437510643,2.21913933124659
2017,"bat180",2017-05-20 03:01:00,0.124305555555556,140,"-110.687594","65.605679","-110.514548","65.661083",7819.17640758562,139712.249595119,10059.9392586175,13.0085893477764,0.936679633018385,0.746362447738647,0.746031761169434,0.746031746031746,"0",95,"spring","Spring Migration",0.519568492660349,0.704456312655861,"Known Crossing Event",43.9927000515215,"m","1",0.245769274030845,3.22036649204891,0.589342671368248,2.63102382068066
2017,"bat189",2017-05-20 16:00:00,0.125,140,"-110.915346","65.685341","-110.788456","65.746538",6088.32852314093,125206.805201387,8952.97323414861,11.5932227038321,0.828979003161908,0.746362447738647,0.746031761169434,0.746031746031746,"0",96,"spring","Spring Migration",0.274437021574486,0.824722413847861,"Known Crossing Event",67.7061536053937,"f","1",0.376145297807743,3.74345415165902,1.10547302187825,2.63798112978077
2017,"bat169",2017-05-23 15:02:00,1.99930555555556,143,"-110.232224","65.01121","-109.935765","65.418735",1938.25752055777,60782.2137451342,47428.0002851003,0.351871099601332,0.274562928592685,0.7289829618401,0.730158746242523,0.73015873015873,"0",97,"spring","Spring Migration",0.22901763183033,0.361482431119544,"Known Crossing Event",640.24900500511,"m","1",0.222385899619697,0.429465918735631,0.18138148725449,0.248084431481141
2017,"bat186",2017-05-25 14:00:00,0.0833333333333333,145,"-110.557882","65.502242","-110.392379","65.530009",5884.45260124224,112215.843064556,8237.39472308126,15.585533758966,1.14408260042795,0.719576716423035,0.719576716423035,0.71957671957672,"0",98,"spring","Spring Migration",0.437941414735903,0.571089272032679,"Known Crossing Event",12.7414912176107,"m","1",0.106179093480089,3.57201329474477,0.960273227384956,2.61174006735982
2017,"bat185",2017-05-25 22:00:00,0.125,145,"-110.499346","65.487469","-110.344024","65.515278",6237.77660158155,108899.033238349,7809.58037747932,10.0832438183656,0.723109294211048,0.719576716423035,0.719576716423035,0.71957671957672,"0",99,"spring","Spring Migration",0.264101980680231,0.515533370640903,"Known Crossing Event",31.8228768129308,"m","1",0.176793760071838,3.64229497822322,1.00722505937343,2.63506991884979
2017,"bat182",2017-05-27 13:00:00,0.125,147,"-110.546413","65.490623","-110.389708","65.54151",6586.41340316753,111321.985614049,9184.54646488733,10.3075912605601,0.850420968971049,0.707671937015321,0.708994686603546,0.708994708994709,"0",100,"spring","Spring Migration",0.343891738979557,0.996182416912234,"Known Crossing Event",19.1499355539009,"m","1",0.106388530855005,3.4003090227711,0.905404588925416,2.49490443384568
2018,"bat186",2018-05-25 08:00:00,0.0833333333333333,145,"-110.238367","65.356974","-110.121326","65.379086",2525.53875578622,59014.1711585863,5962.14747641335,8.19641266091476,0.828076038390743,0.716600526124239,0.719576716423035,0.71957671957672,"0",103,"spring","Spring Migration",0.750671233568948,1.3660157882362,"Known Crossing Event",44.7852963644142,"m","1",0.373210803036785,2.39048407278545,0.0981371996058495,2.2923468731796
2019,"bat232",2019-04-16,1.33333333333333,106,"-109.168906","65.01334","-109.024099","65.029938",5676.67829677502,13848.20292543,7053.32819602121,0.120210094838802,0.0612268072571285,0.856545488680563,0.711640238761902,0.851851851851852,"0",104,"spring","Spring Migration",0.0676112558442803,0.163620452240941,"Known Crossing Event",205.367146783997,"m","1",0.106962055616666,0.57546652649812,-0.0991893550707436,0.674655881568863
2019,"bat214",2019-05-16 08:01:00,0.665972222222222,136,"-111.487107","65.901806","-111.282551","65.938724",3512.94881923175,22237.1918905673,10159.1259031857,0.386464926843367,0.176557627792591,0.767891949728916,0.767195761203766,0.767195767195767,"0",105,"spring","Spring Migration",0.273582229977391,0.473845127536955,"Known Crossing Event",120.429266616486,"f","1",0.125577963103739,0.345438883629741,-0.437954908569086,0.783393792198827
2019,"bev144",2019-05-20 11:00:00,0.125,140,"-111.048523","65.743738","-110.987958","65.762224",2329.93352375899,95060.0838313235,3449.76224404213,8.80185961401144,0.319422430003901,0.762311770365788,0.746031761169434,0.746031746031746,"0",106,"spring","Spring Migration",0.612183736736064,1.07011333620021,"Known Crossing Event",42.7399480483117,"m","1",0.237444155823954,2.66568583703621,-0.650518002129131,3.31620383916534
