"Year","ID","crossing_time","crossing_duration","crossing_date","nearest_before_Lon","nearest_before_Lat","nearest_after_Lon","nearest_after_Lat","lake_width","circumvent_distance","straight_distance","circumvent_speed","straight_speed","albedo_linear","albedo_nearest_pixel","albedo_whole_lake","type","order","season","Location","average_speed_on_land","max_speed_on_land","location","lake_spent","sex","response","lake_spent_proportion","log_ratio_cir_ref","log_ratio_dir_ref","log_ratio_cir_dir"
2010,"bat080",2010-07-09 03:00:00,0.5,190,"-110.7113","65.8258","-110.4473","65.6757",1716.86745203774,23226.7792943695,20612.5163870337,0.537656928110406,0.477141583033188,0.168981480412185,0.224867731332779,0.476190476190476,"0",100,"fall","Fall Migration",0.280257307919083,0.560737698453571,"Unknown Crossing Event",711.010760407986,"f",NA,0.987514945011092,0.651512538624405,0.53210512858137,0.119407410043035
2010,"bat080",2010-07-06 15:00:00,1.5,187,"-110.4111","65.6501","-110.7561","65.8323",1671.56366413859,29219.231134233,25697.3371957074,0.225457030356736,0.198281922806384,0.10085978731513,0.169312164187431,0.497354497354497,"0",101,"fall","Fall Migration",0.27332686548287,0.477141583033188,"Unknown Crossing Event",2109.889381604,"f",NA,0.976800639631483,-0.192538800399165,-0.3209785179075,0.128439717508336
2011,"bat086",2011-07-16 06:00:00,0.125,197,"-109.3633","65.1359","-109.464","65.1836",1761.98134446283,9171.36630958453,7097.29157984807,0.84920058422079,0.65715662776371,0.291005289182067,0.230158731341362,0.402116402116402,"0",102,"fall","Fall Migration",0.307801344773313,0.668971176057052,"Unknown Crossing Event",20.7695167237249,"f",NA,0.115386204020694,1.01484082741558,0.758467798115559,0.256373029300022
2011,"bat088",2011-07-16 09:00:00,0.125,197,"-109.3566","65.1184","-109.3749","65.1602",942.193570486409,4803.37277971477,4731.31533373943,0.444756738862479,0.438084753124021,0.286596124370893,0.293650805950165,0.402116402116402,"0",103,"fall","Fall Migration",0.287648158349862,0.594649542395591,"Unknown Crossing Event",178.144979722113,"f",NA,0.989694331789515,0.435789417565137,0.420674331051255,0.0151150865138813
2011,"bat090",2011-07-18 12:00:00,1.5,199,"-110.2534","65.1797","-110.7415","65.1459",3175.60361867317,25327.7259826135,23130.9778073025,0.195429984433746,0.178479767031655,0.3093681984088,0.365079373121262,0.375661375661376,"0",104,"fall","Fall Migration",0.233347507603037,0.476891321409397,"Unknown Crossing Event",20.7987503567326,"f",NA,0.00962905109107993,-0.177326612009757,-0.268053546568053,0.0907269345582958
2011,"bat090",2011-07-16 06:00:00,0.875,197,"-109.3655","65.1346","-109.7571","65.2482",1623.03052563045,27432.6673505359,22236.8245401386,0.362865970245184,0.294137890742574,0.283399472013116,0.230158731341362,0.402116402116402,"0",105,"fall","Fall Migration",0.285479717703247,0.610923550854762,"Unknown Crossing Event",86.797032284996,"f",NA,0.0688865335595207,0.239862552855832,0.0298776882633115,0.20998486459252
2011,"bat093",2011-07-16 09:00:00,0.125,197,"-109.3736","65.1344","-109.4696","65.1831",1202.58616795543,9449.52200505123,7038.88522738435,0.874955741208447,0.651748632165217,0.283950616916021,0.103174604475498,0.402116402116402,"0",106,"fall","Fall Migration",0.300127070055238,0.466733882775947,"Unknown Crossing Event",27.9853617917521,"f",NA,0.1554742321764,1.06996735177439,0.775453002272701,0.294514349501688
2011,"bat080",2011-07-17 03:00:00,0.5,198,"-109.7111","65.2651","-109.967","65.2116",2325.94667314224,16092.7550232974,13335.2490190449,0.372517477391142,0.308686319885298,0.220187218716511,0.359788358211517,0.396825396825397,"0",107,"fall","Fall Migration",0.189689402078821,0.325848516643916,"Unknown Crossing Event",188.186358640021,"f",NA,0.261369942555585,0.674895947252601,0.486937606648601,0.187958340604
2011,"bat080",2011-07-15 15:00:00,1.5,196,"-109.35","65.1163","-109.7111","65.2651",2483.79372458023,28646.8440506311,23640.3107187659,0.221040463353635,0.182409804928749,0.364468867962177,0.280423283576965,0.412698412698413,"0",108,"fall","Fall Migration",0.23231234257503,0.448656686717336,"Unknown Crossing Event",132.787543652839,"f",NA,0.0614757146540921,-0.0497369935577757,-0.241826939126808,0.192089945569033
2012,"bat090",2012-07-11 09:00:00,0.125,193,"-110.4502","65.3971","-110.7131","65.4301",2545.0823840761,14663.1072783567,12718.5735113872,1.35769511836637,1.17764569549882,0.332275134325027,0.142857149243355,0.275132275132275,"0",109,"fall","Fall Migration",0.274699766617209,0.329519628193847,"Unknown Crossing Event",4.44068553424983,"f",NA,0.0246704751902769,1.59786503157328,1.45559380763465,0.142271223938634
2012,"bat111",2012-07-11 09:00:00,0.125,193,"-110.4532","65.3981","-110.7036","65.4279",2469.71514204606,13774.3525282734,12062.9175356806,1.27540301187716,1.11693680885931,0.332275134325027,0.142857149243355,0.275132275132275,"0",110,"fall","Fall Migration",0.312196042749166,0.369124778309347,"Unknown Crossing Event",13.6981414793718,"f",NA,0.0761007859965097,1.40738616276414,1.27471389264497,0.13267227011917
2014,"bat113",2014-07-20 18:00:00,0.125,201,"-109.9056","65.3207","-109.7221","65.2387",2958.87618168174,14424.8368579594,12501.8531130753,1.33563304240365,1.15757899195142,0.126577126865204,0.103174604475498,0.0529100529100529,"0",111,"fall","Fall Migration",0.467977921904708,0.948997330214573,"Unknown Crossing Event",219.646042940494,"f",NA,1.22025579411385,1.04873952812109,0.90566490783088,0.143074620290206
2014,"bat113",2014-07-18 21:00:00,1.875,199,"-110.1601","65.5262","-109.9056","65.3207",222.895725722864,27281.9118064051,25732.3875731373,0.168406863002501,0.158841898599613,0.208994716405869,0.208994716405869,0.0634920634920635,"0",112,"fall","Fall Migration",0.443513365220568,0.948997330214573,"Unknown Crossing Event",193.12402299728,"f",NA,0.0715274159249184,-0.968345081930962,-1.02681857798261,0.0584734960516525
2014,"bat113",2014-07-18 15:00:00,0.125,199,"-110.3919","65.6092","-110.1988","65.5633",1382.40919121579,13065.4825878539,10249.1711663174,1.20976690628277,0.948997330214573,0.162698414176702,0.206349208950996,0.0634920634920635,"0",113,"fall","Fall Migration",0.355143611751497,1.15757899195142,"Unknown Crossing Event",270.876315646284,"f",NA,1.50486842025713,1.22566073278153,0.98288373752802,0.242776995253507
2014,"bat122",2014-07-18 15:00:00,0.125,199,"-110.6145","65.6934","-110.3985","65.6123",2242.66068965728,16178.7951339224,13407.8396179133,1.4980365864743,1.24146663128827,0.131141344883612,0.380952388048172,0.0634920634920635,"0",114,"fall","Fall Migration",0.234311618092843,0.567889300914015,"Unknown Crossing Event",601.330145053731,"f",NA,3.34072302807628,1.85525865664501,1.66739679616751,0.187861860477506
2015,"bat122",2015-07-20 18:00:00,1.375,201,"-110.1216","65.4675","-110.3005","65.3079",3422.91618996681,65009.3322466091,19607.2390426919,0.547216601402434,0.165044099685959,0.219009828886815,0.357142865657806,0.0317460317460317,"0",115,"fall","Fall Migration",0.355348417726782,0.642413340575483,"Unknown Crossing Event",5.92232733959838,"f",NA,0.00299107441393857,0.431745938123028,-0.766886057531247,1.19863199565427
2015,"bat132",2015-07-21 03:00:00,0.75,202,"-110.026","65.3952","-110.0956","65.2043",4686.77912886772,42220.3080706127,21496.0983048321,0.651547964052665,0.331729912111607,0.199168555438519,0.494708985090256,0.037037037037037,"0",116,"fall","Fall Migration",0.672262448632254,1.18581679084784,"Unknown Crossing Event",108.517912548077,"f",NA,0.100479548655627,-0.0312977980280619,-0.706327692743576,0.675029894715514
2015,"bat132",2015-07-20 21:00:00,0.125,201,"-110.2788","65.5182","-110.0822","65.4371",2358.31361448482,15266.1034762641,12806.8213411567,1.41352809965409,1.18581679084784,0.232193731344663,0.275132268667221,0.0317460317460317,"0",117,"fall","Fall Migration",0.646667637453006,1.04948944512422,"Unknown Crossing Event",429.036903287276,"f",NA,2.38353835159598,0.78201159181837,0.606354626501291,0.175656965317079
2015,"bat133",2015-08-01 06:00:00,1.625,213,"-110.7384","65.4063","-110.8094","65.2993",1524.98040202728,16840.0232488457,12358.8176291939,0.119943185533089,0.0880257665897002,0.338183422883352,0.124338626861572,0.153439153439153,"0",118,"fall","Fall Migration",0.332199069428438,0.449529108578069,"Unknown Crossing Event",77.5259655371954,"f",NA,0.033130754503075,-1.01871621915993,-1.32810482216067,0.309388603000734
